day,pressure ,maxtemp,temparature,mintemp,humidity ,rainfall
1,1025.9,19.9,18.3,16.8,72,yes
2,1022,21.7,18.9,17.2,81,yes
3,1019.7,20.3,19.3,18,95,yes
4,1018.9,22.3,20.6,19.1,90,yes
5,1015.9,21.3,20.7,20.2,95,yes
6,1018.8,24.3,20.9,19.2,84,yes
7,1021.8,21.4,18.8,17,79,no
8,1020.8,21,18.4,16.5,78,no
9,1020.6,18.9,18.1,17.1,78,no
10,1017.5,18.5,18,17.2,85,yes
11,1016.5,20.4,18.1,16.5,90,yes
12,1019.9,18.5,17.3,16.1,79,no
13,1020.8,18.7,16.1,14.2,77,no
14,1019.3,17.5,16.5,15.6,79,yes
15,1015.4,16.1,15.1,14.5,97,yes
16,1013.5,17.1,16.4,15.5,95,yes
17,1011.5,20.6,17.8,14.8,90,yes
18,1017.1,17.8,15.2,11.9,76,no
19,1020.1,17.6,16.4,15.3,78,no
20,1019.6,16.8,15.5,14.8,90,yes
21,1017.7,17.1,16.1,15.1,95,yes
22,1018.9,16.2,14.1,10.3,92,yes
23,1027.1,10.4,8.5,7,70,yes
24,1034.6,7.1,4.9,3.1,61,yes
25,1032.6,10.8,7.4,4.3,46,no
26,1027.1,13.5,10.4,8.1,59,yes
27,1022.7,15.3,13,9.8,92,yes
28,1018.2,17.4,16.1,14.8,98,yes
29,1017.9,17.4,16.6,15.9,96,yes
30,1020,19.9,17.6,16.2,88,no
31,1019.9,16.2,15.7,15.3,86,yes
1,1022.2,15.6,12.4,10.7,93,yes
2,1024.4,11.2,10.4,9.4,79,yes
3,1023.6,14.3,12.5,10.3,77,yes
4,1021.8,18.8,15.2,13.3,76,no
5,1021.2,18.6,14.8,12.3,66,no
6,1024.9,17.4,13.6,11.2,39,no
7,1026.1,18.1,13.7,9.9,36,no
8,1023.9,19.6,14.8,11.6,52,no
9,1020.8,21.2,16.7,12.7,54,no
10,1017.5,17.3,16.6,15.3,64,yes
11,1014.9,22.4,18.8,17.2,86,yes
12,1013.4,21.6,19.2,17.6,95,yes
13,1012.5,25.9,23.1,21.3,89,no
14,1014.8,24.6,21.7,17.4,81,yes
15,1024.3,17.5,13.2,11.4,64,yes
16,1025.4,15.1,12.8,10.9,63,no
17,1024.1,14.4,12.9,11.6,77,yes
18,1021.9,15,13.7,11.7,89,yes
